candidate_id,job_id,expected_label,rationale
C001,J001,weak,Python skills relevant to ML Engineer but lacks ML production experience
C001,J002,medium,Meets most Data Analyst requirements with some domain/skill gaps
C001,J003,no_fit,Different professional domain from HR Recruiter requirements
C001,J004,weak,Analytics experience could support People Analytics Analyst but lacks HR domain knowledge
C001,J005,medium,Meets most Data Analyst – Growth/Ops requirements with some domain/skill gaps
C001,J006,no_fit,Different professional domain from Senior ML Engineer requirements
C001,J007,medium,Meets most Senior Data Engineer requirements with some domain/skill gaps
C001,J008,medium,Meets most BI Developer requirements with some domain/skill gaps
C001,J009,no_fit,Different professional domain from ML Researcher requirements
C001,J010,weak,Some Backend Engineer skills present but significant gaps in domain/tools
C001,J011,no_fit,Different professional domain from HRIS Analyst requirements
C001,J012,no_fit,Different professional domain from People Ops Manager requirements
C001,J013,medium,Meets most Data Scientist requirements with some domain/skill gaps
C001,J014,no_fit,Different professional domain from DevOps Engineer requirements
C001,J015,no_fit,Different professional domain from Talent Acquisition Lead requirements
C001,J016,weak,Some Product Analytics Manager skills present but significant gaps in domain/tools
C001,J017,medium,Meets most Junior Data Engineer requirements with some domain/skill gaps
C001,J018,no_fit,Different professional domain from Embedding Engineer requirements
C001,J019,no_fit,Different professional domain from Recruiter requirements
C001,J020,medium,Meets most Senior Analytics Engineer requirements with some domain/skill gaps
C001,J021,weak,Analytics experience could support People Analytics Lead but lacks HR domain knowledge
C002,J001,no_fit,Different professional domain from ML Engineer requirements
C002,J002,medium,Meets most Data Analyst requirements with some domain/skill gaps
C002,J003,strong,Strong match with 4 core skills directly relevant to HR Recruiter
C002,J004,medium,Meets most People Analytics Analyst requirements with some domain/skill gaps
C002,J005,no_fit,Different professional domain from Data Analyst – Growth/Ops requirements
C002,J006,no_fit,Different professional domain from Senior ML Engineer requirements
C002,J007,no_fit,Different professional domain from Senior Data Engineer requirements
C002,J008,weak,Some BI Developer skills present but significant gaps in domain/tools
C002,J009,no_fit,Different professional domain from ML Researcher requirements
C002,J010,no_fit,Different professional domain from Backend Engineer requirements
C002,J011,weak,Analytics experience could support HRIS Analyst but lacks HR domain knowledge
C002,J012,no_fit,Different professional domain from People Ops Manager requirements
C002,J013,no_fit,Different professional domain from Data Scientist requirements
C002,J014,no_fit,Different professional domain from DevOps Engineer requirements
C002,J015,medium,Meets most Talent Acquisition Lead requirements with some domain/skill gaps
C002,J016,no_fit,Different professional domain from Product Analytics Manager requirements
C002,J017,no_fit,Different professional domain from Junior Data Engineer requirements
C002,J018,no_fit,Different professional domain from Embedding Engineer requirements
C002,J019,strong,Strong match with 4 core skills directly relevant to Recruiter
C002,J020,no_fit,Different professional domain from Senior Analytics Engineer requirements
C002,J021,weak,Analytics experience could support People Analytics Lead but lacks HR domain knowledge
C003,J001,no_fit,Different professional domain from ML Engineer requirements
C003,J002,medium,Meets most Data Analyst requirements with some domain/skill gaps
C003,J003,no_fit,Different professional domain from HR Recruiter requirements
C003,J004,medium,Meets most People Analytics Analyst requirements with some domain/skill gaps
C003,J005,medium,Meets most Data Analyst – Growth/Ops requirements with some domain/skill gaps
C003,J006,no_fit,Different professional domain from Senior ML Engineer requirements
C003,J007,weak,Some Senior Data Engineer skills present but significant gaps in domain/tools
C003,J008,medium,Meets most BI Developer requirements with some domain/skill gaps
C003,J009,no_fit,Different professional domain from ML Researcher requirements
C003,J010,no_fit,Different professional domain from Backend Engineer requirements
C003,J011,weak,Some HRIS Analyst skills present but significant gaps in domain/tools
C003,J012,no_fit,Different professional domain from People Ops Manager requirements
C003,J013,weak,Some Data Scientist skills present but significant gaps in domain/tools
C003,J014,no_fit,Different professional domain from DevOps Engineer requirements
C003,J015,no_fit,Different professional domain from Talent Acquisition Lead requirements
C003,J016,weak,Some Product Analytics Manager skills present but significant gaps in domain/tools
C003,J017,weak,Some Junior Data Engineer skills present but significant gaps in domain/tools
C003,J018,no_fit,Different professional domain from Embedding Engineer requirements
C003,J019,no_fit,Different professional domain from Recruiter requirements
C003,J020,weak,Some Senior Analytics Engineer skills present but significant gaps in domain/tools
C003,J021,weak,Some People Analytics Lead skills present but significant gaps in domain/tools
C004,J001,strong,Strong match with 5 core skills directly relevant to ML Engineer
C004,J002,no_fit,Different professional domain from Data Analyst requirements
C004,J003,no_fit,Different professional domain from HR Recruiter requirements
C004,J004,no_fit,Different professional domain from People Analytics Analyst requirements
C004,J005,no_fit,Different professional domain from Data Analyst – Growth/Ops requirements
C004,J006,strong,Strong match with 5 core skills directly relevant to Senior ML Engineer
C004,J007,no_fit,Different professional domain from Senior Data Engineer requirements
C004,J008,no_fit,Different professional domain from BI Developer requirements
C004,J009,medium,Meets most ML Researcher requirements with some domain/skill gaps
C004,J010,weak,Some Backend Engineer skills present but significant gaps in domain/tools
C004,J011,no_fit,Different professional domain from HRIS Analyst requirements
C004,J012,no_fit,Different professional domain from People Ops Manager requirements
C004,J013,weak,Some Data Scientist skills present but significant gaps in domain/tools
